,Date,Text,Likes,Retweets
49,2018-06-17 04:52:13,"They got a way of fucking you on the toll roads. .65 cents at the booth.  No pennies,  so 3 quarters. They make a dime more on every car.
#fixthisshit",22,4
50,2018-06-16 20:57:01,Interesting read about the debatehttp://www.tulsaworld.com/news/elections/gubernatorial-candidates-lay-out-their-platforms-at-oklahoma-press-association/article_cdef0537-d951-5239-a476-02bc88fe5929.html …,1,1
51,2018-06-16 04:16:34,"75 reporters at the debate today you would think something would be online.  And then, maybe not?",8,0
52,2018-06-15 22:16:48,"The debate in Shawnee today with 75 reporters I think we put it all out there.
#truth #fixthisshit",3,0
53,2018-06-15 20:06:05,That answer certainly got the room’s attention.,1,1
54,2018-06-15 05:36:31,2 weeks and we are gonna rock this election and smoke weed,152,58
55,2018-06-15 05:34:54,No mikey bullshithttps://twitter.com/MichaelDros/status/1007460889522528256 …,5,0
56,2018-06-14 03:19:41,Thank youhttps://twitter.com/PandaJazJohnson/status/1007089773364875264 …,1,0
57,2018-06-14 02:30:24,Let's save the kids of this statepic.twitter.com/kF17kCyi4c,56,3
58,2018-06-11 22:22:18,Reminder to vote @joe_exotic,7,2
59,2018-06-11 19:06:26,Does 3 million in your campaign fund mean the people like you or did you sell out to special interest groups?,16,4
60,2018-06-11 02:23:15,That shows you who they are looking out for https://twitter.com/Dont_Do_It_Meat/status/1005878133063651329 …,27,7
61,2018-06-10 03:52:08,Future pool party at the Mansionpic.twitter.com/hM8rjQsvcz,14,4
62,2018-06-10 03:31:39,"The  vote for SQ788 is near.
Vote yes and vote Joe Exotic #fixthisshit",16,4
63,2018-06-07 12:40:05,#voteforjoehttps://twitter.com/joe_exotic/status/1004552374915076096 …,14,2
64,2018-06-07 03:27:39,You bet I wouldhttps://twitter.com/ChristineKramar/status/1004562803296890881 …,0,0
65,2018-06-07 02:38:56,Fox 25http://okcfox.com/news/local/race-for-governor-joe-exotic …,7,2
66,2018-06-07 02:35:24,Let's ride into the inauguration like rhispic.twitter.com/NfYEL8ufGi,98,39
67,2018-06-07 02:34:21,The apes love Joe Exotic fir governorpic.twitter.com/jbZt7tN5kz,27,8
